,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
160,มหาวิทยาลัยนเรศวร,8. วิศวกรรมอุตสาหการ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,Bachelor of Engineering Program in Industrial Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน",-,30,30,60,15
161,มหาวิทยาลัยนเรศวร,9. วิศวกรรมเชิงนวัตกรรม,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนวัตกรรมอัจฉริยะ (หลักสูตรภาษาอังกฤษ) (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนวัตกรรมอัจฉริยะ (หลักสูตรภาษาอังกฤษ),Bachelor of Engineering Program in Intelligent Innovation Engineering (English Program),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 40,000 ต่อภาคเรียน",-,20,20,30,20
162,มหาวิทยาลัยบูรพา,1. วิศวกรรมเคมี,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ,Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,หลัก,,,48,0,0,0
163,มหาวิทยาลัยบูรพา,1. วิศวกรรมเคมี,2. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ (รูปแบบที่ 1) (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ (รูปแบบที่ 1),Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,หลัก,,,0,30,30,0
164,มหาวิทยาลัยบูรพา,1. วิศวกรรมเคมี,3. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ (รูปแบบที่ 2) (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ (รูปแบบที่ 2),Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,หลัก,,,0,30,29,0
165,มหาวิทยาลัยบูรพา,2. วิศวกรรมเครื่องกล,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเครื่องกล ภาคปกติ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเครื่องกล ภาคปกติ,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,หลัก,,,60,50,36,0
166,มหาวิทยาลัยบูรพา,3. วิศวกรรมไฟฟ้า,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมไฟฟ้า ภาคปกติ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมไฟฟ้า ภาคปกติ,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,หลัก,,,39,40,26,0
167,มหาวิทยาลัยบูรพา,4. วิศวกรรมโยธา,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมโยธา ภาคปกติ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมโยธา ภาคปกติ,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,หลัก,,,60,50,45,0
168,มหาวิทยาลัยบูรพา,5. วิศวกรรมวัสดุ,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมวัสดุ ภาคปกติ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมวัสดุ ภาคปกติ,Bachelor of Engineering Program in Materials Engineering,ภาษาไทย ปกติ,หลัก,,,93,60,153,0
169,มหาวิทยาลัยบูรพา,6. วิศวกรรมสิ่งแวดล้อม,1. หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมสิ่งแวดล้อม ภาคปกติ (ภาษาไทย ปกติ),หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมสิ่งแวดล้อม ภาคปกติ,Bachelor of Engineering Program in Environmental Engineering,ภาษาไทย ปกติ,หลัก,,,23,0,0,0
