,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
72,มหาวิทยาลัยเชียงใหม่,4. วิศวกรรมโยธา,1. วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมโยธา,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",59.75%,82,77,25,0
73,มหาวิทยาลัยเชียงใหม่,4. วิศวกรรมโยธา,2. วศ.บ.วิศวกรรมโยธา (นานาชาติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมโยธา,,นานาชาติ,วิทยาเขตหลัก,"400,000",,29,29,17,0
74,มหาวิทยาลัยเชียงใหม่,5. วิศวกรรมสิ่งแวดล้อม,1. วศ.บ.วิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมสิ่งแวดล้อม,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",42.95%,82,37,5,0
75,มหาวิทยาลัยเชียงใหม่,6. วิศวกรรมหุ่นยนต์,1. วศ.บ.วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"232,000",,40,25,10,0
76,มหาวิทยาลัยเชียงใหม่,7. วิศวกรรมเหมืองแร่,1. วศ.บ.วิศวกรรมเหมืองแร่ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมเหมืองแร่,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",47.71%,41,22,5,0
77,มหาวิทยาลัยเชียงใหม่,8. วิศวกรรมอุตสาหการ,1. วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมอุตสาหการ,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",68.12%,117,102,30,0
78,มหาวิทยาลัยเชียงใหม่,8. วิศวกรรมอุตสาหการ,2. วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย พิเศษ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมอุตสาหการ,,ภาษาไทย พิเศษ,วิทยาเขตหลัก,"280,000",33.61%,10,20,55,25
79,มหาวิทยาลัยเชียงใหม่,8. วิศวกรรมอุตสาหการ,3. วศ.บ.วิศวกรรมอุตสาหการและการจัดการโลจิสติกส์ (นานาชาติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมอุตสาหการและการจัดการโลจิสติกส์,,นานาชาติ,วิทยาเขตหลัก,"400,000",,26,25,20,5
80,มหาวิทยาลัยเชียงใหม่,9. วิศวกรรมเชิงนวัตกรรม,1. วศ.บ.วิศวกรรมบูรณาการ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,วศ.บ.วิศวกรรมบูรณาการ,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",,36,22,5,0
81,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. วิศวกรรมคอมพิวเตอร์,1. วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์(หลักสูตรนานาชาติ)-วศ.บ.4ปี,ComputerEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,27,11,10,0
82,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. วิศวกรรมคอมพิวเตอร์,2. วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์-วศ.บ.4ปี,ComputerEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,52,24,10,0
83,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. วิศวกรรมคอมพิวเตอร์,3. วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์วศ.บ.4ปี(พื้นที่การศึกษาราชบุรี) (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์วศ.บ.4ปี(พื้นที่การศึกษาราชบุรี),ComputerEngineering-B.Eng.(RajaburiEducationalRegion),ภาษาไทย ปกติ,บางมด,,,21,10,0,0
84,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,2. วิศวกรรมเคมี,1. วศ.บ.สาขาวิศวกรรมเคมี-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเคมี-วศ.บ.4ปี,ChemicalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,54,24,30,3
85,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,2. วิศวกรรมเคมี,2. วศ.บ.สาขาวิศวกรรมเคมี(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเคมี(หลักสูตรนานาชาติ)-วศ.บ.4ปี,ChemicalEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,28,32,35,0
86,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,3. วิศวกรรมเครื่องกล,1. วศ.บ.สาขาวิศวกรรมเครื่องกล-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเครื่องกล-วศ.บ.4ปี,MechanicalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,57,32,10,0
87,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,3. วิศวกรรมเครื่องกล,2. วศ.บ.สาขาวิศวกรรมเครื่องกลวศ.บ.4ปี(พื้นที่การศึกษาราชบุรี) (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเครื่องกลวศ.บ.4ปี(พื้นที่การศึกษาราชบุรี),MechanicalEngineering-B.Eng.(RajaburiEducationalRegion),ภาษาไทย ปกติ,บางมด,,,20,11,0,0
88,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,3. วิศวกรรมเครื่องกล,3. วศ.บ.สาขาวิศวกรรมยานยนต์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมยานยนต์-วศ.บ.4ปี,AutomotiveEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,53,41,35,0
89,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,4. วิศวกรรมไฟฟ้า,1. วศ.บ.สาขาวิศวกรรมไฟฟ้า-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้า-วศ.บ.4ปี,ElectricalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,53,36,29,0
90,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,4. วิศวกรรมไฟฟ้า,2. วศ.บ.สาขาวิศวกรรมไฟฟ้า(ระบบไฟฟ้าอิเล็กทรอนิกส์กำลังและพลังงาน)-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้า(ระบบไฟฟ้าอิเล็กทรอนิกส์กำลังและพลังงาน)-วศ.บ.4ปี,ElectricalEngineering(PowerSystemPowerElectronicsandEnergy)-B.Eng.,ภาษาไทย ปกติ,บางมด,,,27,22,10,0
91,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,5. วิศวกรรมโยธา,1. วศ.บ.สาขาวิศวกรรมโยธา(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมโยธา(หลักสูตรนานาชาติ)-วศ.บ.4ปี,CivilEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,66,42,20,0
92,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,5. วิศวกรรมโยธา,2. วศ.บ.สาขาวิศวกรรมโยธา-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมโยธา-วศ.บ.4ปี,CivilEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,67,13,5,0
93,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,6. วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,1. วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี,AutomationEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,32,27,25,19
94,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,6. วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,2. วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี-KOSEN (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี-KOSEN,AutomationEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,50,0,0,0
95,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,6. วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,3. วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด-วศ.บ.4ปี,ControlSystemandInstrumentationEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,30,19,8,0
96,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,6. วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,4. วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด(สหกิจศึกษา)-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด(สหกิจศึกษา)-วศ.บ.4ปี,ControlSystemsandInstrumentationEngineering(Co-operativeEducation)-B.Eng.,ภาษาไทย ปกติ,บางมด,,,30,35,35,26
97,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,7. วิศวกรรมวัสดุ,1. วศ.บ.สาขาวิศวกรรมวัสดุ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมวัสดุ-วศ.บ.4ปี,MaterialsEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,29,43,30,5
98,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,7. วิศวกรรมวัสดุ,2. วศ.บ.สาขาวิศวกรรมเครื่องมือ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเครื่องมือ-วศ.บ.4ปี,ToolEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,34,54,45,0
99,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,7. วิศวกรรมวัสดุ,3. วศ.บ. วิศวกรรมการผลิตชิ้นส่วนยานยนต์และอากาศยานสมัยใหม่ - วศ.บ. 4 ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ. วิศวกรรมการผลิตชิ้นส่วนยานยนต์และอากาศยานสมัยใหม่ - วศ.บ. 4 ปี,Modern Automotive and Aerospace Parts Manufacturing Engineering - B.Eng.,ภาษาไทย ปกติ,บางมด,,,27,21,20,0
100,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,8. วิศวกรรมสิ่งแวดล้อม,1. วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม(หลักสูตรนานาชาติ)-วศ.บ.4ปี,EnviromentalEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,28,38,15,26
101,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,8. วิศวกรรมสิ่งแวดล้อม,2. วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม-วศ.บ.4ปี,EnvironmentalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,29,20,2,0
102,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,9. วิศวกรรมอิเล็กทรอนิกส์,1. วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และสารสนเทศสื่อสาร(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และสารสนเทศสื่อสาร(หลักสูตรนานาชาติ)-วศ.บ.4ปี,Electronic and Infocommunication Engineering (International Program) - B.Eng.,นานาชาติ,บางมด,,,28,63,30,0
103,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,9. วิศวกรรมอิเล็กทรอนิกส์,2. วศ.บ.สาขาวิศวกรรมไฟฟ้าสื่อสารและอิเล็กทรอนิกส์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้าสื่อสารและอิเล็กทรอนิกส์-วศ.บ.4ปี,ElectricalCommunicationandElectronicEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,61,28,4,0
104,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,10. วิศวกรรมอุตสาหการ,1. วศ.บ.สาขาวิศวกรรมอุตสาหการ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมอุตสาหการ-วศ.บ.4ปี,ProductionEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,57,45,13,0
105,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,10. วิศวกรรมอุตสาหการ,2. วศ.บ.สาขาวิศวกรรมเมคคาทรอนิกส์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเมคคาทรอนิกส์-วศ.บ.4ปี,MechatronicEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,29,17,4,0
106,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,1. วิศวกรรมการผลิต,1. วศ.บ.วิศวกรรมการผลิต (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมการผลิต,Bachelor of Engineering Program in Production Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,67,64,30,21
107,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,2. วิศวกรรมคอมพิวเตอร์,1. วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,30,23,5,0
108,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,3. วิศวกรรมเคมี,1. วศ.บ.วิศวกรรมเคมี (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมเคมี,Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,40,23,20,0
109,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,4. วิศวกรรมเครื่องกล,1. วศ.บ.วิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,80,19,25,0
110,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,4. วิศวกรรมเครื่องกล,2. วศ.บ.วิศวกรรมเครื่องกล เพื่อการออกแบบและนวัตกรรม (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมเครื่องกล เพื่อการออกแบบและนวัตกรรม (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Mechanical Engineering for Design and Innovation (International Program),นานาชาติ,กรุงเทพฯ,"60,000 ต่อภาคเรียน",,34,10,30,30
111,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,4. วิศวกรรมเครื่องกล,3. วศ.บ.วิศวกรรมขนถ่ายวัสดุ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมขนถ่ายวัสดุ,Bachelor of Engineering Program in Materials Handing Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,34,23,15,0
112,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,5. วิศวกรรมพลังงาน,1. วศ.บ.วิศวกรรมไฟฟ้าอุตสาหกรรมและพลังงาน (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมไฟฟ้าอุตสาหกรรมและพลังงาน,Bachelor of Engineering Program in Industrial Electrical and Energy Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,26,23,10,0
113,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,5. วิศวกรรมพลังงาน,2. วศ.บ.วิศวกรรมไฟฟ้าอุตสาหกรรมและพลังงาน (ภาษาไทย พิเศษ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมไฟฟ้าอุตสาหกรรมและพลังงาน,Bachelor of Engineering Program in Industrial Electrical and Energy Engineering,ภาษาไทย พิเศษ,กรุงเทพฯ,"30,000 ต่อภาคเรียน",,0,30,5,3
114,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,6. วิศวกรรมไฟฟ้า,1. วศ.บ.วิศวกรรมไฟฟ้า สาขาวิชาวิศวกรรมไฟฟ้ากำลัง/วิศวกรรมควบคุมอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,55,33,30,0
115,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,6. วิศวกรรมไฟฟ้า,2. วศ.บ.วิศวกรรมไฟฟ้า สาขาวิชาวิศวกรรมโทรคมนาคม (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,30,13,25,0
116,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,6. วิศวกรรมไฟฟ้า,3. วศ.บ.วิศวกรรมไฟฟ้า(หลักสูตรภาษาอังกฤษ) (ภาษาต่างประเทศ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมไฟฟ้า(หลักสูตรภาษาอังกฤษ),Bachelor of Engineering Program in Electrical Engineering (EnglishProgram),ภาษาต่างประเทศ,กรุงเทพฯ,"60,000 ต่อภาคเรียน",,35,25,35,0
117,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,7. วิศวกรรมโยธา,1. วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,55,33,0,0
118,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,7. วิศวกรรมโยธา,2. วศ.บ.วิศวกรรมโยธา (ภาษาไทย พิเศษ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย พิเศษ,กรุงเทพฯ,"30,000 ต่อภาคเรียน",,0,0,40,20
119,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,8. วิศวกรรมโลจิสติกส์,1. วศ.บ.วิศวกรรมโลจิสติกส์ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมโลจิสติกส์,Bachelor of Engineering Program in Logistics Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,39,23,15,0
120,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,8. วิศวกรรมโลจิสติกส์,2. วศ.บ.วิศวกรรมโลจิสติกส์ (ภาษาไทย พิเศษ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมโลจิสติกส์,Bachelor of Engineering Program in Logistics Engineering,ภาษาไทย พิเศษ,กรุงเทพฯ,"30,000 ต่อภาคเรียน",,34,20,15,0
121,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,9. วิศวกรรมวัสดุ,1. วศ.บ.วิศวกรรมวัสดุ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมวัสดุ,Bachelor of Engineering Program in Materials Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,72,68,30,20
122,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,9. วิศวกรรมวัสดุ,2. วศ.บ.วิศวกรรมวัสดุเชิงนวัตกรรม(หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมวัสดุเชิงนวัตกรรม(หลักสูตรนานาชาติ),Bachelor of Engineering Program in Innovative Materials Engineering (International Program),นานาชาติ,กรุงเทพฯ,"60,000 ต่อภาคเรียน",,20,0,0,0
123,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,10. วิศวกรรมหุ่นยนต์,1. วศ.บ.วิศวกรรมหุ่นยนต์และระบบอัตโนมัติ(หลักสูตรภาษาอังกฤษ) (ภาษาต่างประเทศ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมหุ่นยนต์และระบบอัตโนมัติ(หลักสูตรภาษาอังกฤษ),Bachelor of Engineering Program in Robotic Engineering and Automation System (English Program),ภาษาต่างประเทศ,กรุงเทพฯ,"60,000 ต่อภาคเรียน",,41,20,10,17
124,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,11. วิศวกรรมอากาศยาน,1. วศ.บ.วิศวกรรมการบินและอวกาศ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมการบินและอวกาศ,Bachelor of Engineering Program in Aerospace Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,42,9,25,0
125,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,11. วิศวกรรมอากาศยาน,2. วศ.บ.วิศวกรรมการบินและอวกาศ(หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมการบินและอวกาศ(หลักสูตรนานาชาติ),Bachelor of Engineering Program in Aerospace Engineering (International Program),นานาชาติ,กรุงเทพฯ,"60,000 ต่อภาคเรียน",,34,10,30,30
126,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,12. วิศวกรรมอุตสาหการ,1. วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,วศ.บ.วิศวกรรมอุตสาหการ,Bachelor of Engineering Program in Industrial Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,53,38,10,21
127,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,13. วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,1. วศ.บ.วิศวกรรมเครื่องมือวัดและอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต ปราจีนบุรี,วศ.บ.วิศวกรรมเครื่องมือวัดและอัตโนมัติ,Bachelor of Engineering Program in Instrumentation System Engineering,ภาษาไทย ปกติ,ปราจีนบุรี,"25,000 ต่อภาคเรียน",,41,28,10,5
128,มหาวิทยาลัยทักษิณ,1. วิศวกรรมเครื่องกล,1. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต พัทลุง,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,พัทลุง,"18,000 บาท ต่อภาคเรียน",,36,16,20,5
129,มหาวิทยาลัยทักษิณ,2. วิศวกรรมเมคคาทรอนิกส์,1. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเมคคาทรอนิกส์ (ภาษาไทย ปกติ) วิทยาเขต พัทลุง,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเมคคาทรอนิกส์,Bachelor of Engineering Program in Mechatronics Engineering,ภาษาไทย ปกติ,พัทลุง,"18,000 บาท ต่อภาคเรียน",,36,16,40,5
130,มหาวิทยาลัยทักษิณ,3. วิศวกรรมวัสดุ,1. วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมยางและพอลิเมอร์ (ภาษาไทย ปกติ) วิทยาเขต พัทลุง,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมยางและพอลิเมอร์,Bachelor of Engineering Program in Rubber and Polymer Engineering,ภาษาไทย ปกติ,พัทลุง,"18,000 บาท ต่อภาคเรียน",,36,16,40,5
