Unnamed: 0,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
144,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ.สาขาวิชาวิศกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต ศูนย์รังสิต,วศ.บ.สาขาวิชาวิศกรรมอุตสาหการ,Bachelor of Engineering Program in Industrial Engineering,ภาษาไทย ปกติ,ศูนย์รังสิต,18200.0,74.0%,37,22,50,0
145,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมยานยนต์,วศ.บ.สาขาวิชาวิศวกรรมยานยนต์และระบบอัตโนมัติ (ศึกษาที่ มธ.ศูนย์พัทยา) (โครงการพิเศษ) (V-TECH) (ภาษาไทย พิเศษ) วิทยาเขต ศูนย์พัทยา,วศ.บ.สาขาวิชาวิศวกรรมยานยนต์และระบบอัตโนมัติ (ศึกษาที่ มธ.ศูนย์พัทยา) (โครงการพิเศษ) (V-TECH),Bachelor of Engineering Program in Vehicle Technology Engineering,ภาษาไทย พิเศษ,ศูนย์พัทยา,32400.0,0,30,10,37,0
146,มหาวิทยาลัยนครพนม,วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาสาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,9025.0,80.0%,40,40,40,0
147,มหาวิทยาลัยนครพนม,วิศวกรรมเครื่องกล,วิศวกรรมศาสตรบัณฑิต สาขาวิชาสาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,9025.0,80.0%,40,40,40,0
148,มหาวิทยาลัยนครพนม,วิศวกรรมไฟฟ้า,วิศวกรรมศาสตรบัณฑิต สาขาวิชาสาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,9062.5,80.0%,40,40,40,0
149,มหาวิทยาลัยนครพนม,วิศวกรรมโยธา,วิศวกรรมศาสตรบัณฑิต สาขาวิชาสาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,8246.25,80.0%,40,40,40,0
150,มหาวิทยาลัยนครพนม,วิศวกรรมโลจิสติกส์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาสาขาวิชาวิศวกรรมโลจิสติกส์ (ภาษาไทย ปกติ),วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Logistics Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,9025.0,80.0%,40,40,40,0
151,มหาวิทยาลัยนครพนม,วิศวกรรมอุตสาหการ,วิศวกรรมศาสตรบัณฑิต สาขาวิชาสาขาวิชาวิศวกรรมอุตสาหการและการจัดการ (ภาษาไทย ปกติ),วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,9025.0,80.0%,25,25,25,0
152,มหาวิทยาลัยนเรศวร,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000.0,0,30,25,50,10
153,มหาวิทยาลัยนเรศวร,วิศวกรรมเคมี,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000.0,0,20,30,45,15
154,มหาวิทยาลัยนเรศวร,วิศวกรรมเครื่องกล,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000.0,0,20,50,60,0
155,มหาวิทยาลัยนเรศวร,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า สาขาวิชาวิชาเอกวิศวกรรมไฟฟ้ากำลัง (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000.0,0,10,20,60,10
156,มหาวิทยาลัยนเรศวร,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า สาขาวิชาวิชาเอกวิศวกรรมไฟฟ้าสื่อสาร (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000.0,0,10,10,30,10
157,มหาวิทยาลัยนเรศวร,วิศวกรรมโยธา,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000.0,0,10,70,55,8
